rang,siren,nom_rne,montant_part_eur,part_pct,nb_contrats,montant_cumule_eur,part_cumulee_pct
1,180092264,INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES (INRAP),24587955.01,23.74,7,24587955.01,23.74
2,378998363,SOINS MODERNES DES ARBRES (SMDA),20775583.84,20.06,2,45363538.85,43.80
3,491825683,EVEHA-ETUDES ET VALORISATIONS ARCHEOLOGIQUES (EVEHA),19212006.42,18.55,7,64575545.27,62.34
4,320651706,CHARIER GC (CHARIER GENIE CIVIL NANTES),5462864.00,5.27,2,70038409.27,67.62
5,130022718,CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION HAUTS-DE-FRANCE (CCIR),4900000.00,4.73,1,74938409.27,72.35
6,308054980,ETS RENARD,4257200.00,4.11,3,79195609.27,76.46
7,632044145,SOC D'ETUDES GEN AMENAGEMENT TERRITOIRE (SEGAT),3466666.67,3.35,2,82662275.94,79.81
8,349026955,SPIE BATIGNOLLES NORD,2524660.12,2.44,1,85186936.06,82.24
9,775684764,SOCIETE MUTUELLE D'ASSURANCE DU BATIMENT ET DES TRAVAUX PUBLICS (S.M.A.B.T.P.),2288120.35,2.21,1,87475056.41,84.45
10,794569046,AXODYN,2000000.00,1.93,1,89475056.41,86.38
11,490020864,ARCHEODUNUM SAS,1688158.50,1.63,2,91163214.91,88.01
12,429123771,GEOSAT,1666666.67,1.61,1,92829881.57,89.62
13,999746480,ARKEN AVOCATS,1666666.67,1.61,1,94496548.24,91.23
14,722069366,BOUYGUES TRAVAUX PUBLICS REGIONS FRANCE,1415383.47,1.37,1,95911931.71,92.60
15,792871121,CIGMA OUEST SAINT BRIEUC,1381850.00,1.33,1,97293781.71,93.93
16,491934055,PALEOTIME,1354679.54,1.31,1,98648461.25,95.24
17,388201428,SETHY,1155152.03,1.12,2,99803613.28,96.36
18,226200012,DEPARTEMENT DU PAS DE CALAIS,798767.50,0.77,2,100602380.78,97.13
19,513023267,DIOT IMMOBILIER COURTAGE & SOLUTIONS,768962.30,0.74,2,101371343.08,97.87
20,392357570,CIME ENVIRONNEMENT SAS,579624.65,0.56,1,101950967.73,98.43
21,493334429,EGIS VILLES ET TRANSPORTS (EGIS FRANCE                                                 FRANCE),481854.25,0.47,2,102432821.98,98.89
22,399988765,BDC CONSEIL,350000.00,0.34,1,102782821.98,99.23
23,802580191,AGENCE EKER,350000.00,0.34,1,103132821.98,99.57
24,404164121,EUROVIA PICARDIE,319936.00,0.31,1,103452757.98,99.88
25,775710668,ASS DEPT AMIS PARENTS ENFANTS INADAPTES (ADAPEI),89750.00,0.09,1,103542507.98,99.97
26,401503792,ARCADIS ESG,36000.00,0.03,1,103578507.98,100.00
