id,_type,objet,nature,source,codeCPV,montant,dureeMois,formePrix,procedure,offresRecues,dateNotification,datePublicationDonnees,dateSignature,acheteur_id,acheteur_nom,titulaires_siret,titulaires_nom,lieuExecution_code,typeGroupementOperateurs,modifications,ref__file_date,correction_doublon,acheteur_siren,acheteur_siret,acheteur_luhn,titulaires_siret_norm,titulaires_siren,titulaires_luhn,cle_dedup,statut_dedup,rne_statut
000,Marché,Accord-cadre de prestations intellectuelles portant sur une mission d'Assistance à Maitrise d'Ouvrage Foncier,Marché,marches-publics_aws,79140000,5000000.0,48,Mixte,Procédure avec négociation,3,2026-04-10,2026-04-28,,82953599600039,,42912377100074;63204414500043;99974648000014,,60200,Conjoint,,2026-05-02 00:30:11,,829535996,82953599600039,OK,42912377100074;63204414500043;99974648000014,429123771;632044145;999746480,OK;OK;OK,DEGRADE:000|accord-cadre de prestations intellectuelles portant sur une mission d'assistance a maitrise d'ouvrage foncier|82953599600039|marches-publics_aws,UNIQUE,RESOLU;RESOLU;RESOLU
000,Marché,Assistance à maîtrise d'ouvrage - Mission d'économiste de la construction,Marché,marches-publics_aws,71321100,1381850.0,48,Mixte,Appel d'offres ouvert,4,2026-05-12,2026-05-28,,82953599600039,,79287112100010,,60200,Conjoint,,2025-12-31 23:59:59,,829535996,82953599600039,OK,79287112100010,792871121,OK,DEGRADE:000|assistance a maitrise d'ouvrage - mission d'economiste de la construction|82953599600039|marches-publics_aws,UNIQUE,RESOLU
000,Marché,"Assistance à maîtrise d'ouvrage pour la communication de proximité ""Compiégnois""",Marché,marches-publics_aws,79416000,700000.0,36,Unitaire,Marché passé sans publicité ni mise en concurrence préalable,1,2026-05-22,2026-07-17,,82953599600039,,39998876500042;80258019100046,,60200,Solidaire,,2026-07-18 00:30:11,,829535996,82953599600039,OK,39998876500042;80258019100046,399988765;802580191,OK;OK,"DEGRADE:000|assistance a maitrise d'ouvrage pour la communication de proximite ""compiegnois""|82953599600039|marches-publics_aws",UNIQUE,RESOLU;RESOLU
000,Marché,Exploitation de la plateforme trimodale de Ribécourt,Marché,marches-publics_aws,63711000,4900000.0,48,Mixte,Procédure avec négociation,1,2026-06-12,2026-07-08,,82953599600039,,13002271800014,,60170,Pas de groupement,,2026-07-11 00:30:13,,829535996,82953599600039,OK,13002271800014,130022718,OK,DEGRADE:000|exploitation de la plateforme trimodale de ribecourt|82953599600039|marches-publics_aws,UNIQUE,RESOLU
000D0390,Marché,"Accord-cadre de prestations intellectuelles portant sur une mission d'Assistance à Maitrise d'Ouvrage Foncier - Lot n°B ""Suivi des procédures d'AFAFE""",Marché,marches-publics_aws,79140000,1800000.0,48,Unitaire,Procédure avec négociation,3,2026-04-14,2026-07-09,,82953599600039,,63204414500043,,60200,Pas de groupement,,2026-07-11 00:30:13,,829535996,82953599600039,OK,63204414500043,632044145,OK,"DEGRADE:000D0390|accord-cadre de prestations intellectuelles portant sur une mission d'assistance a maitrise d'ouvrage foncier - lot n°b ""suivi des procedures d'afafe""|82953599600039|marches-publics_aws",UNIQUE,RESOLU
2026T14842,Marché,"Le présent marché subséquent a pour objet une fouille archéologique préventive AJ, site 29, à Sauchy-Lestrée (Pas-de-Calais), secteur 4 (S4F16) prescrite par l’arrêté de prescription de fouilles modificatif numéro CSNE-2026-82-A6.",Marché,AIFE_PLACE,45112000-5,3635167.0,45,Mixte,Procédure avec négociation,3,2026-06-05,2026-06-09,,82953599600039,,49182568300205,,60,Pas de groupement,,2026-06-10 03:30:20,,829535996,82953599600039,OK,49182568300205,491825683,OK,2026T14842|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2026T15531,Marché,"S2F10 - D187 Fouille archéologique préventive S2F10 Fouille AI  - Nesle (Somme) 
",Marché,AIFE_PLACE,45112000-5,1423446.3,43,Mixte,Procédure adaptée,2,2026-06-16,2026-06-16,,82953599600039,,18009226400225,,80,Pas de groupement,,2026-06-17 03:30:21,,829535996,82953599600039,OK,18009226400225,180092264,OK,2026T15531|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2550933,Marché,"La Société du Canal Seine Nord Europe procède à la déconstruction totale ou partielle de bâtis dans le cadre de la construction du Canal, comprenant les travaux de désamiantage et de démolition, la gestion des déchets, le traitement des sources de pollution concentrées, généralement circonscrites à des zones limitées et la mise en place de dispositifs interdisant l’accès aux sites . - Lot 2 (B061) : biens 1, 3, 5, 6 , 11, 12 et 13",Marché,AIFE_PLACE,45110000-1,435000.0,24,Forfaitaire,Procédure adaptée,4,2024-07-31,2024-09-18,,82953599600039,,30805498000021,,60,Pas de groupement,,2026-06-18 09:15:33,,829535996,82953599600039,OK,30805498000021,308054980,OK,2550933|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2550937,Marché,"La Société du Canal Seine Nord Europe procède à la déconstruction totale ou partielle de bâtis dans le cadre de la construction du Canal, comprenant les travaux de désamiantage et de démolition, la gestion des déchets, le traitement des sources de pollution concentrées, généralement circonscrites à des zones limitées et la mise en place de dispositifs interdisant l’accès aux sites . - Lot 3 (B061) : biens de 14 à 18",Marché,AIFE_PLACE,45110000-1,710000.0,36,Forfaitaire,Procédure adaptée,4,2024-07-31,2024-09-18,,82953599600039,,30805498000021,,60,Pas de groupement,,2026-06-18 09:15:33,,829535996,82953599600039,OK,30805498000021,308054980,OK,2550937|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2559956,Marché, Lot 3 - Fouilles archéologiques - Protohistoire,Marché,AIFE_PLACE,45112000-5,110000.0,2,Mixte,Procédure avec négociation,5,2024-07-15,2024-09-27,,82953599600039,,22620001200012,,60,Pas de groupement,,2026-06-18 09:15:33,,829535996,82953599600039,OK,22620001200012,226200012,OK,2559956|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
