id,objet,nature_CPV,codeCPV,montant_initial_eur,montant_final_eur,nb_evenements_modification,cumul_modifications_eur,taux_modification,procedure,offres_recues,nb_titulaires,titulaires_siren,statut_dedup,source
000,Accord-cadre de prestations intellectuelles portant sur une mission d'Assistance à Maitrise d'Ouvrage Foncier,SERVICES,79140000,5000000.0,5000000.0,0,0,0,Procédure avec négociation,3,3,429123771;632044145;999746480,UNIQUE,marches-publics_aws
000,Assistance à maîtrise d'ouvrage - Mission d'économiste de la construction,SERVICES,71321100,1381850.0,1381850.0,0,0,0,Appel d'offres ouvert,4,1,792871121,UNIQUE,marches-publics_aws
000,"Assistance à maîtrise d'ouvrage pour la communication de proximité ""Compiégnois""",SERVICES,79416000,700000.0,700000.0,0,0,0,Marché passé sans publicité ni mise en concurrence préalable,1,2,399988765;802580191,UNIQUE,marches-publics_aws
000,Exploitation de la plateforme trimodale de Ribécourt,SERVICES,63711000,4900000.0,4900000.0,0,0,0,Procédure avec négociation,1,1,130022718,UNIQUE,marches-publics_aws
000D0390,"Accord-cadre de prestations intellectuelles portant sur une mission d'Assistance à Maitrise d'Ouvrage Foncier - Lot n°B ""Suivi des procédures d'AFAFE""",SERVICES,79140000,1800000.0,1800000.0,0,0,0,Procédure avec négociation,3,1,632044145,UNIQUE,marches-publics_aws
2026T14842,"Le présent marché subséquent a pour objet une fouille archéologique préventive AJ, site 29, à Sauchy-Lestrée (Pas-de-Calais), secteur 4 (S4F16) prescrite par l’arrêté de prescription de fouilles modificatif numéro CSNE-2026-82-A6.",TRAVAUX,45112000-5,3635167.0,3635167.0,0,0,0,Procédure avec négociation,3,1,491825683,UNIQUE,AIFE_PLACE
2026T15531,"S2F10 - D187 Fouille archéologique préventive S2F10 Fouille AI  - Nesle (Somme) 
",TRAVAUX,45112000-5,1423446.3,1423446.3,0,0,0,Procédure adaptée,2,1,180092264,UNIQUE,AIFE_PLACE
2550933,"La Société du Canal Seine Nord Europe procède à la déconstruction totale ou partielle de bâtis dans le cadre de la construction du Canal, comprenant les travaux de désamiantage et de démolition, la gestion des déchets, le traitement des sources de pollution concentrées, généralement circonscrites à des zones limitées et la mise en place de dispositifs interdisant l’accès aux sites . - Lot 2 (B061) : biens 1, 3, 5, 6 , 11, 12 et 13",TRAVAUX,45110000-1,435000.0,435000.0,0,0,0,Procédure adaptée,4,1,308054980,UNIQUE,AIFE_PLACE
2550937,"La Société du Canal Seine Nord Europe procède à la déconstruction totale ou partielle de bâtis dans le cadre de la construction du Canal, comprenant les travaux de désamiantage et de démolition, la gestion des déchets, le traitement des sources de pollution concentrées, généralement circonscrites à des zones limitées et la mise en place de dispositifs interdisant l’accès aux sites . - Lot 3 (B061) : biens de 14 à 18",TRAVAUX,45110000-1,710000.0,710000.0,0,0,0,Procédure adaptée,4,1,308054980,UNIQUE,AIFE_PLACE
2559956, Lot 3 - Fouilles archéologiques - Protohistoire,TRAVAUX,45112000-5,110000.0,110000.0,0,0,0,Procédure avec négociation,5,1,226200012,UNIQUE,AIFE_PLACE
2560166,"Le marché subséquent objet de la présente consultation a pour objet une fouille archéologique préventive à Sauchy Lestrée (Pas?de?Calais) secteur 4, prescrite par l’arrêté de prescription de fouilles CSNE?2023?44?T022?A4 en date du 26/09/2023, et complété par l’arrêté modificatif CSNE?2024?44?T022?A5 en date du 16/01/2024.
",TRAVAUX,45112000-5,688767.5,688767.5,0,0,0,Procédure avec négociation,5,1,226200012,UNIQUE,AIFE_PLACE
2573559,Lot 1 - Construction de quais travaux à Noyon ,TRAVAUX,45241100-9,1234448.0,1234448.0,0,0,0,Appel d'offres ouvert,6,1,320651706,UNIQUE,AIFE_PLACE
2573567,"Lot 2 : Construction de quais travaux à Aubencheul-au-Bac dans le cadre du projet du Canal Seine Nord Europe.
",TRAVAUX,45241100-9,2524660.12,2524660.12,0,0,0,Appel d'offres ouvert,5,1,349026955,UNIQUE,AIFE_PLACE
2583544,Marché subséquent sur le Lot 3 - Protohistoire de l'AC 20TRI053C portant sur des fouilles archéologiques préventives sur le territoire de la commune d'ALLAINES (Somme) pour le S3 - Tranche opérationnelle 16 - Fouilles I - S3F02,TRAVAUX,45112000-5,1795605.35,1795605.35,0,0,0,Procédure avec négociation,2,1,491825683,UNIQUE,AIFE_PLACE
2596399,FOURNITURE DE NICHOIRS A OISEAUX ET GITES A CHAUVES-SOURIS POUR LES SECTEURS 2 A 4 DU CANAL SEINE-NORD EUROPE (marché B117),FOURNITURES,39142000-9,89750.0,89750.0,0,0,0,Procédure adaptée,2,1,775710668,UNIQUE,AIFE_PLACE
2598984,Fouilles archéologiques   - PALEOLITHIQUE,TRAVAUX,45112450-4,6950994.01,6950994.01,0,0,0,Appel d'offres ouvert,2,1,180092264,UNIQUE,AIFE_PLACE
2606349," Fouille archéologique préventive à Moislains (Somme) secteur 3, tranche opérationnelle 16 (S3-T016) site 8 – Fouille H",TRAVAUX,45112000-5,1799193.49,1799193.49,0,0,0,Procédure avec négociation,4,1,491825683,UNIQUE,AIFE_PLACE
2641604,B024_MS_S2F01_ Marché subséquent sur accord-cadre 20TRI053C (lot 3)_Fouilles archéologiques préventives à Noyon (secteur 2)_ Fouille K,TRAVAUX,45112000-5,2135740.07,2135740.07,0,0,0,Marché passé sans publicité ni mise en concurrence préalable,4,1,491825683,UNIQUE,AIFE_PLACE
2642049,"Assurances travaux du secteur 1 et responsabilité civile 
3 lots TRC, RCMO et RCAE -LOT 1 Tous risques chantier et montage essais",SERVICES,66513200-1,2288120.35,2288120.35,0,0,0,Procédure avec négociation,6,1,775684764,UNIQUE,AIFE_PLACE
2642059,"Assurances travaux du secteur 1 et responsabilité civile 
3 lots TRC, RCMO et RCAE - LOT 2 Responsabilité civile Maître d'Ouvrage",SERVICES,66516000-0,447412.3,447412.3,0,0,0,Procédure avec négociation,6,1,513023267,UNIQUE,AIFE_PLACE
2642069,"Assurances travaux du secteur 1 et responsabilité civile 
3 lots TRC, RCMO et RCAE - LOT 3 Responsabilité civile atteinte à l'environnement ",SERVICES,66516000-0,321550.0,321550.0,0,0,0,Procédure avec négociation,6,1,513023267,UNIQUE,AIFE_PLACE
2642834,Marché de prestations intellectuelles portant sur une mission d’Assistance à Maitrise d'Ouvrage Achats dans le cadre de la passation et l’exécution des contrats pour la Société du Canal Seine-Nord Europe.,SERVICES,71318000-0,2000000.0,2000000.0,0,0,0,Appel d'offres ouvert,7,1,794569046,UNIQUE,AIFE_PLACE
2655388,"Le marché subséquent objet de la présente consultation a pour objet une fouille archéologique préventive à Bourlon et Marquion (Pas-de-Calais) secteur 4, prescrite par l’arrêté de prescription de fouilles CSNE-2024-52-T029-A7 en date du 16/05/2024.",TRAVAUX,45112000-5,9466564.66,9466564.66,0,0,0,Procédure avec négociation,3,1,180092264,UNIQUE,AIFE_PLACE
2662683,Déboisement - Secteur 2 - Canal Seine-Nord Europe - M211-2.1-Sud,SERVICES,77211400-6,708450.38,708450.38,0,0,0,Appel d'offres ouvert,3,1,388201428,UNIQUE,AIFE_PLACE
2662688,Déboisement - Secteur 2 - Canal Seine-Nord Europe - M212-2.2-Nord,SERVICES,77211400-6,446701.65,446701.65,0,0,0,Appel d'offres ouvert,3,1,388201428,UNIQUE,AIFE_PLACE
2698584,Marché subséquent sur le Lot 3 - Protohistoire de l'AC 20TRI053C portant sur des fouilles archéologiques préventives sur le territoire de la commune d'ÉQUANCOURT / ETRICOURT-MANANCOURT (Somme) pour le S3 - Tranche opérationnelle 19 - Fouilles L- S3F04,TRAVAUX,45112420-5,3737675.61,3737675.61,0,0,0,Procédure avec négociation,4,1,491825683,UNIQUE,AIFE_PLACE
2698904,"L'objet du marché est la fouille archéologique préventive à Licourt (Somme), secteur 2, tranche opérationnelle 32, fouille V - B166",TRAVAUX,45112000-5,1413699.0,1413699.0,0,0,0,Procédure avec négociation,2,1,490020864,UNIQUE,AIFE_PLACE
2706994,"Marchés de maîtrise d’oeuvre dans le cadre du projet de construction du Canal Seine-Nord-Europe (CSNE)  ""TOARC – Secteurs 2, 3 et 4 "" - Marché 18TRI001B – Maîtrise d’oeuvre du secteur 2 Passel – Allaines du projet de construction du Canal Seine-Nord Europ",SERVICES,71310000-4,311792.25,311792.25,0,0,0,Marché passé sans publicité ni mise en concurrence préalable,1,1,493334429,UNIQUE,AIFE_PLACE
2707054,"Marchés de maîtrise d’oeuvre dans le cadre du projet de construction du Canal Seine-Nord-Europe (CSNE)  ""TOARC – Secteurs 2, 3 et 4 "" - Marché 18TRI001B – Maîtrise d’oeuvre du secteur 2 Passel – Allaines du projet de construction du Canal Seine-Nord Europ",SERVICES,71310000-4,170062.0,170062.0,0,0,0,Marché passé sans publicité ni mise en concurrence préalable,1,1,493334429,UNIQUE,AIFE_PLACE
2707074,"Marchés de maîtrise d’œuvre dans le cadre du projet de construction du Canal Seine-Nord-Europe (CSNE)  ""TOARC – Secteurs 2, 3 et 4 "" - Marché 18TRI001C – Maîtrise d’œuvre du secteur 3 Allaines – Etricourt-Manancourt du projet de construction du Canal
Marché subséquent n°12 - Etudes en laboratoire du comportement des craies traitées à la chaux.",SERVICES,71000000-8,36000.0,36000.0,0,0,0,Marché passé sans publicité ni mise en concurrence préalable,1,1,401503792,UNIQUE,AIFE_PLACE
2731588, Lot 3 - Fouilles archéologiques à Sermaize (Somme) S2F03,TRAVAUX,45112000-5,1985750.2,1985750.2,0,0,0,Procédure adaptée,3,1,180092264,UNIQUE,AIFE_PLACE
2756703,"Fouille archéologique préventive S4F12 et S4F13 à Oisy-le-Verger (Pas-de-Calais)
Fouille S4 F12 : tranche opérationnelle (T043) - secteur 4 - site 20 lieu-dit : La Couture de l’Abbaye - Fouille U
Fouille S4 F13 : Tranche opérationnelle (TO35) - secteur 4 - site 9 Oisy le Verger - Fouille T - Fouille S4 F13 site 9 Oisy le Verger - Fouille T (marché B130)",TRAVAUX,45112000-5,274459.5,274459.5,0,0,0,Procédure avec négociation,4,1,490020864,UNIQUE,AIFE_PLACE
2760638,"Le présent marché subséquent a pour objet une fouille archéologique préventive à Catigny (Oise), secteur 2, tranche opérationnelle « R1D1-rescindement de Catigny-Oise », prescrite par l’arrêté de prescription de fouilles CSNE-2024-88-A1 en date du 10/12/2024.
Cette fouille archéologique a pour but de procéder à la sauvegarde par l’étude, d’une occupation du Paléolithique moyen, probablement corrélée au stade isotopique 4.",TRAVAUX,45112000-5,1354679.54,1354679.54,0,0,0,Procédure avec négociation,2,1,491934055,UNIQUE,AIFE_PLACE
2780544,Canal Seine-Nord Europe - S1 - TOARC - lot 5 : Déconstruction des ponts - Canal Seine-Nord Europe - S1 - TOARC - lot 5 : Déconstruction des ponts,TRAVAUX,45111100-9,3112200.0,3112200.0,0,0,0,Appel d'offres ouvert,5,1,308054980,UNIQUE,AIFE_PLACE
2805792,La présente consultation porte sur un marché de prestations de services d’aménagements de génie écologique et de petits terrassements à réaliser dans le cadre de la mise en œuvre des mesures compensatoires hors emprises du projet de construction du Canal Seine Nord Europe. - Marché de prestations d'aménagement des mesures compensatoires et de petits terrassements sur les sites hors DUP du CSNE - Lot A,SERVICES,90722000-4,579624.65,579624.65,0,0,0,Procédure avec négociation,3,1,392357570,UNIQUE,AIFE_PLACE
2805797,La présente consultation porte sur un marché de prestations de services d’aménagements de génie écologique et de petits terrassements à réaliser dans le cadre de la mise en œuvre des mesures compensatoires hors emprises du projet de construction du Canal Seine Nord Europe. - Marché de prestations d'aménagement des mesures compensatoires et de petits terrassements sur les istes hors DUP du CSNE - Lot C,SERVICES,90722000-4,1415383.47,1415383.47,0,0,0,Procédure avec négociation,3,1,722069366,UNIQUE,AIFE_PLACE
2807527,MS au lot 3 - Fouilles archéologiques à Bourlon et Marquion - B100-S4F09 - Fouille S,TRAVAUX,45112000-5,1853579.0,1853579.0,0,0,0,Procédure avec négociation,3,1,180092264,UNIQUE,AIFE_PLACE
2807607,"Le marché subséquent de la présente consultation a pour objet une fouille archéologique préventive à Bourlon (Pas-de-Calais) secteur 4.
Les principaux objectifs de la fouille sont la reconnaissance, la caractérisation et le phasage des différentes occupations présentes sur le site, ainsi que l'intégration des données issues de la fouille dans le contexte micro-régional, afin de reconstituer les schémas d'occupation et d'organisation d'un territoire.



",TRAVAUX,45112000-5,318947.0,318947.0,0,0,0,Procédure avec négociation,4,1,180092264,UNIQUE,AIFE_PLACE
2813047,Marché subséquent sur le lot 3 - Protohistoire de l'AC 20TRI053C portant sur des fouilles archéologiques préventives sur le territoire de la commune d'ETRICOURT-MANANCOURT (SOMME) pour le S3 - Tranche Opérationnelle 18 - site 13 - Fouille O - S3F06.,TRAVAUX,45112000-5,4327670.13,4327670.13,0,0,0,Procédure avec négociation,2,1,491825683,UNIQUE,AIFE_PLACE
2844722,"La présente consultation porte sur la réalisation de travaux d’aménagement, de réhabilitation et de construction de quais fluviaux de travaux sur le canal du Nord pour favoriser le transport fluvial dans le cadre des travaux préparatoires du projet de construction du canal Seine-Nord Europe - Secteur 2. 
Les travaux à réaliser sont divisés en deux lots valant marché, portant sur :
•	Lot Q1- M213 - La réhabilitation de quais existants, regroupant les quais de Pont l’Évêque, de Languevoisin, de Rouy-le-Petit et de Péronne,
•	Lot Q2 – M214- La construction du quai neuf de Catigny.
La description précise des travaux et des prestations associées attendus figure au Cahier des Clauses Techniques Particulières (CCTP). - M214 - Lot Q2",TRAVAUX,45241100-9,4228416.0,4228416.0,0,0,0,Appel d'offres ouvert,4,1,320651706,UNIQUE,AIFE_PLACE
2852282,"L’objet du marché est la fouille archéologique préventive à Beaurains-Les-Noyon (Oise), Tranche opérationnelle 40 - Secteur 2, Site 3, fouille X.",TRAVAUX,45112000-5,1780954.77,1780954.77,0,0,0,Procédure adaptée,4,1,491825683,UNIQUE,AIFE_PLACE
2858002,"La consultation a pour objet la réalisation de la déviation provisoire de la voie communale Allaines-Bouchavesnes associée à la réalisation du futur Canal Seine-Nord Europe.
Le marché s'inscrit dans le cadre des travaux préparatoires aux travaux principaux de construction de l'écluse d'Allaines.",TRAVAUX,45112500-0,319936.0,319936.0,0,0,0,Appel d'offres ouvert,6,1,404164121,UNIQUE,AIFE_PLACE
2931198," Cette fouille archéologique préventive a pour but de procéder à la sauvegarde par l'étude de l'établissement rural prenant place entre le 1er âge du Fer et le Haut Empire, la fouille de la nécropole datée de La Tène D1-D2 ainsi que l'étude du terroir associé.",TRAVAUX,45112000-5,2588673.84,2588673.84,0,0,0,Procédure avec négociation,4,1,180092264,UNIQUE,AIFE_PLACE
2950343,Réalisation de travaux d'aménagements de génie écologique pour le secteur 2 du Canal Seine-Nord Europe - 2.1 - Sud,TRAVAUX,45100000-8,12134059.78,12134059.78,0,0,0,Appel d'offres ouvert,5,1,378998363,UNIQUE,AIFE_PLACE
2950348,Réalisation de travaux d'aménagements de génie écologique pour le secteur 2 du Canal Seine-Nord Europe - 2.2 - Nord,TRAVAUX,45100000-8,8641524.06,8641524.06,0,0,0,Appel d'offres ouvert,5,1,378998363,UNIQUE,AIFE_PLACE
