numero_marche,objet,montant_initial,date_notification,nature,acheteur,supports,idweb_boamp,notice_ted,aws_idm,version_schema,source_entree
000,[DOUBLON_DEFECTUEUX de 2844722 (M214-Q2)] Marché de travaux de réhabilitation de 4 quais existants sur le Canal du Nord - Secteur 2,4228416.0,2025-11-20,Marché,82953599600039,marches-publics_aws,,,,2019,DECP-consolides
000,Accord-cadre de prestations intellectuelles portant sur une mission d'Assistance à Maitrise d'Ouvrage Foncier,5000000.0,2026-04-10,Marché,82953599600039,marches-publics_aws,,,,2019,DECP-consolides
000,Assistance à maîtrise d'ouvrage - Mission d'économiste de la construction,1381850.0,2026-05-12,Marché,82953599600039,marches-publics_aws,,,,2019,DECP-consolides
000,"Assistance à maîtrise d'ouvrage pour la communication de proximité ""Compiégnois""",700000.0,2026-05-22,Marché,82953599600039,marches-publics_aws,,,,2019,DECP-consolides
000,Exploitation de la plateforme trimodale de Ribécourt,4900000.0,2026-06-12,Marché,82953599600039,marches-publics_aws,,,,2019,DECP-consolides
000D0390,"Accord-cadre de prestations intellectuelles portant sur une mission d'Assistance à Maitrise d'Ouvrage Foncier - Lot n°B ""Suivi des procédures d'AFAFE""",1800000.0,2026-04-14,Marché,82953599600039,marches-publics_aws,,,,2019,DECP-consolides
1411I011,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1411I016,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1411I026,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1411PA005,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1484C70,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1504C58,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1511I031,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1511I037,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1511I048,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1511PA009,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1514C78,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1533C59,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1572C59,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1572C63,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1611F042,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1611I011,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1611I015,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1611I024,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1611I039,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
166L47,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1711PA0005,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
1729L43,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
17TRF007,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
17TRI003,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
17TRI004,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
17TRI005,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
18TRI001,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
18TRI002,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
