siren,nom,siege_siret,nature_juridique,date_creation,etat,erreur
130022718,CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION HAUTS-DE-FRANCE (CCIR),13002271800014,7381,2017-01-01,A,
180092264,INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES (INRAP),18009226400225,7389,2002-01-16,A,
226200012,DEPARTEMENT DU PAS DE CALAIS,22620001200012,7220,1980-07-07,A,
308054980,ETS RENARD,30805498000021,5710,1976-01-01,A,
320651706,CHARIER GC (CHARIER GENIE CIVIL NANTES),32065170600030,5710,1980-01-01,A,
349026955,SPIE BATIGNOLLES NORD,34902695500261,5710,1989-01-01,A,
378998363,SOINS MODERNES DES ARBRES (SMDA),37899836300154,5710,1990-04-01,A,
388201428,SETHY,38820142800058,5710,1992-06-01,A,
392357570,CIME ENVIRONNEMENT SAS,39235757000028,5710,1993-09-02,A,
399988765,BDC CONSEIL,39998876500042,5710,1995-02-01,A,
401503792,ARCADIS ESG,40150379200533,5710,1995-06-26,A,
404164121,EUROVIA PICARDIE,40416412100059,5710,1996-03-07,A,
429123771,GEOSAT,42912377100074,5785,2000-01-10,A,
490020864,ARCHEODUNUM SAS,49002086400024,5710,2006-04-01,A,
491825683,EVEHA-ETUDES ET VALORISATIONS ARCHEOLOGIQUES (EVEHA),49182568300205,5710,2006-09-11,A,
491934055,PALEOTIME,49193405500030,5499,2006-09-13,A,
493334429,EGIS VILLES ET TRANSPORTS (EGIS FRANCE                                                 FRANCE),49333442900591,5710,2006-11-30,A,
513023267,DIOT IMMOBILIER COURTAGE & SOLUTIONS,51302326700075,5710,2009-05-19,A,
632044145,SOC D'ETUDES GEN AMENAGEMENT TERRITOIRE (SEGAT),63204414500043,5710,1963-07-15,A,
722069366,BOUYGUES TRAVAUX PUBLICS REGIONS FRANCE,72206936600374,5710,1900-01-01,A,
775684764,SOCIETE MUTUELLE D'ASSURANCE DU BATIMENT ET DES TRAVAUX PUBLICS (S.M.A.B.T.P.),77568476402155,6411,1974-01-01,A,
775710668,ASS DEPT AMIS PARENTS ENFANTS INADAPTES (ADAPEI),77571066800689,9220,1900-01-01,A,
792871121,CIGMA OUEST SAINT BRIEUC,79287112100010,5499,2013-04-12,A,
794569046,AXODYN,79456904600053,5710,2013-07-30,A,
802580191,AGENCE EKER,80258019100046,5710,2014-05-19,A,
999746480,ARKEN AVOCATS,99974648000014,5785,2026-01-14,A,
